scenario,region,sector,subsector,year,value,reductions,type
stated policies scenario,world,total,total aviation (domestic and bunkers),2020,586.31,0,weo
announced pledges scenario,world,total,total aviation (domestic and bunkers),2020,586.31,0,weo
net zero emissions by 2050 scenario,world,total,total aviation (domestic and bunkers),2020,586.31,0,weo
stated policies scenario,world,total,total aviation (domestic and bunkers),2030,1259.49,-1.148163941,weo
announced pledges scenario,world,total,total aviation (domestic and bunkers),2030,1196.89,-1.041394484,weo
net zero emissions by 2050 scenario,world,total,total aviation (domestic and bunkers),2030,884.21,-0.508092988,weo
stated policies scenario,world,total,total aviation (domestic and bunkers),2040,1439.57,-1.455305214,weo
announced pledges scenario,world,total,total aviation (domestic and bunkers),2040,1135.75,-0.937115178,weo
net zero emissions by 2050 scenario,world,coal,power sector inputs,2020,9750.4,0,weo
net zero emissions by 2050 scenario,world,coal,power sector inputs,2030,4653.48,0.52273958,weo
net zero emissions by 2050 scenario,world,coal,power sector inputs,2040,48.73,0.995002256,weo
net zero emissions by 2050 scenario,world,coal,power sector inputs,2050,26.65,0.997266779,weo
net zero emissions by 2050 scenario,world,oil,power sector inputs,2020,557.3,0,weo
net zero emissions by 2050 scenario,world,oil,power sector inputs,2030,167.39,0.699641127,weo
net zero emissions by 2050 scenario,world,oil,power sector inputs,2040,17.8,0.968060291,weo
net zero emissions by 2050 scenario,world,oil,power sector inputs,2050,2.34,0.995801184,weo
net zero emissions by 2050 scenario,world,natural gas,power sector inputs,2020,3095.24,0,weo
net zero emissions by 2050 scenario,world,natural gas,power sector inputs,2030,2264.18,0.268496142,weo
net zero emissions by 2050 scenario,world,natural gas,power sector inputs,2040,79.99,0.974157093,weo
net zero emissions by 2050 scenario,world,natural gas,power sector inputs,2050,41.69,0.986530931,weo
net zero emissions by 2050 scenario,world,bioenergy and waste,power sector inputs,2020,99.1,0,weo
net zero emissions by 2050 scenario,world,bioenergy and waste,power sector inputs,2030,-8.58,1.086579213,weo
net zero emissions by 2050 scenario,world,bioenergy and waste,power sector inputs,2040,-335.13,4.381735621,weo
net zero emissions by 2050 scenario,world,bioenergy and waste,power sector inputs,2050,-421.46,5.252875883,weo
net zero emissions by 2050 scenario,world,total,total aviation (domestic and bunkers),2040,511.02,0.128413297,weo
stated policies scenario,world,total,total aviation (domestic and bunkers),2050,1675.45,-1.857617984,weo
announced pledges scenario,world,total,total aviation (domestic and bunkers),2050,1073.76,-0.831386127,weo
